Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type,Protein,Genotype,Sample
2015-01-08_mTsc_Quads-700-CD36.tiff,W,3,686000,1060000,1280,291,Signal,CD36,Wild-Type,1260
2015-01-08_mTsc_Quads-700-CD36.tiff,W,4,397000,733000,1540,218,Signal,CD36,Wild-Type,1550
2015-01-08_mTsc_Quads-700-CD36.tiff,W,5,501000,914000,1368,302,Signal,CD36,Wild-Type,811
2015-01-08_mTsc_Quads-700-CD36.tiff,W,6,619000,927000,1134,272,Signal,CD36,Knockout,869
2015-01-08_mTsc_Quads-700-CD36.tiff,W,7,833000,1170000,1216,279,Signal,CD36,Knockout,1264
2015-01-08_mTsc_Quads-700-CD36.tiff,W,8,1420000,1780000,1235,293,Signal,CD36,Knockout,1266
2015-01-08_mTsc_Quads-700-CD36.tiff,W,9,1160000,1500000,1170,287,Signal,CD36,Knockout,1265
2015-01-08_mTsc_Quads-700-CD36.tiff,W,10,1390000,1760000,1300,291,Signal,CD36,Knockout,1552
2015-12-14_DB2-800-Actin.tiff,W,1,201000,337000,5412,25,Signal,Actin,Wild-Type,867
2015-12-14_DB2-800-Actin.tiff,W,2,321000,572000,6596,38,Signal,Actin,Wild-Type,1251
2015-12-14_DB2-800-Actin.tiff,W,3,405000,646000,7300,33,Signal,Actin,Wild-Type,1260
2015-12-14_DB2-800-Actin.tiff,W,4,317000,549000,7020,33,Signal,Actin,Wild-Type,1550
2015-12-14_DB2-800-Actin.tiff,W,5,296000,690000,7565,52,Signal,Actin,Wild-Type,811
2015-12-14_DB2-800-Actin.tiff,W,6,451000,620000,6750,25,Signal,Actin,Knockout,869
2015-12-14_DB2-800-Actin.tiff,W,7,493000,656000,6545,25,Signal,Actin,Knockout,1264
2015-12-14_DB2-800-Actin.tiff,W,8,527000,719000,7110,27,Signal,Actin,Knockout,1266
2015-12-14_DB2-800-Actin.tiff,W,9,617000,780000,6552,25,Signal,Actin,Knockout,1265
2015-12-14_DB2-800-Actin.tiff,W,10,625000,857000,7998,29,Signal,Actin,Knockout,1552
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,1,1390000,1970000,2146,270,Signal,GAPDH,Wild-Type,867
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,2,1200000,1900000,2146,326,Signal,GAPDH,Wild-Type,1251
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,3,1150000,1770000,2146,288,Signal,GAPDH,Wild-Type,1260
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,4,1240000,1840000,2146,280,Signal,GAPDH,Wild-Type,1550
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,5,1050000,2020000,2146,449,Signal,GAPDH,Wild-Type,811
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,6,1160000,1520000,2146,168,Signal,GAPDH,Knockout,869
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,7,1020000,1700000,2146,318,Signal,GAPDH,Knockout,1264
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,8,1570000,2000000,2146,201,Signal,GAPDH,Knockout,1266
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,9,1400000,1940000,2387,228,Signal,GAPDH,Knockout,1265
2015-12-17_Muscle_TSC-800-GAPDH.tiff,W,10,995000,2150000,2146,537,Signal,GAPDH,Knockout,1552
2015-12-17_Muscle_TSC-700-.tiff,W,1,15600,294000,1846,151,Signal,4F2hc,Wild-Type,867
2015-12-17_Muscle_TSC-700-.tiff,W,2,17700,250000,1464,159,Signal,4F2hc,Wild-Type,1251
2015-12-17_Muscle_TSC-700-.tiff,W,3,-3770,287000,1742,167,Signal,4F2hc,Wild-Type,1260
2015-12-17_Muscle_TSC-700-.tiff,W,4,10500,230000,1452,151,Signal,4F2hc,Wild-Type,1550
2015-12-17_Muscle_TSC-700-.tiff,W,5,11400,229000,1407,155,Signal,4F2hc,Wild-Type,811
2015-12-17_Muscle_TSC-700-.tiff,W,6,18800,244000,1584,142,Signal,4F2hc,Knockout,869
2015-12-17_Muscle_TSC-700-.tiff,W,7,24700,296000,1794,151,Signal,4F2hc,Knockout,1264
2015-12-17_Muscle_TSC-700-.tiff,W,8,33900,309000,1755,157,Signal,4F2hc,Knockout,1266
2015-12-17_Muscle_TSC-700-.tiff,W,9,18600,237000,1340,163,Signal,4F2hc,Knockout,1265
2015-12-17_Muscle_TSC-700-.tiff,W,10,15400,278000,1495,176,Signal,4F2hc,Knockout,1552
2015-12-17_Muscle_TSC-700.tiff,W,1,20200,212000,1610,119,Signal,LAT1,Wild-Type,867
2015-12-17_Muscle_TSC-700.tiff,W,2,17700,209000,1610,119,Signal,LAT1,Wild-Type,1251
2015-12-17_Muscle_TSC-700.tiff,W,3,15400,171000,1332,117,Signal,LAT1,Wild-Type,1260
2015-12-17_Muscle_TSC-700.tiff,W,4,11200,132000,1050,115,Signal,LAT1,Wild-Type,1550
2015-12-17_Muscle_TSC-700.tiff,W,5,8620,180000,1368,125,Signal,LAT1,Wild-Type,811
2015-12-17_Muscle_TSC-700.tiff,W,6,13500,158000,1260,115,Signal,LAT1,Knockout,869
2015-12-17_Muscle_TSC-700.tiff,W,7,12700,165000,1278,119,Signal,LAT1,Knockout,1264
2015-12-17_Muscle_TSC-700.tiff,W,8,19500,181000,1406,115,Signal,LAT1,Knockout,1266
2015-12-17_Muscle_TSC-700.tiff,W,9,12900,167000,1296,119,Signal,LAT1,Knockout,1265
2015-12-17_Muscle_TSC-700.tiff,W,10,15200,177000,1296,125,Signal,LAT1,Knockout,1552
2015-01-08_mTsc_Quads-700.tiff,W,1,187000,429000,1800,134,Signal,Sarcolipin,Wild-Type,867
2015-01-08_mTsc_Quads-700.tiff,W,2,160000,440000,2236,125,Signal,Sarcolipin,Wild-Type,1251
2015-01-08_mTsc_Quads-700.tiff,W,3,29200,264000,1780,132,Signal,Sarcolipin,Wild-Type,1260
2015-01-08_mTsc_Quads-700.tiff,W,4,190000,415000,1728,130,Signal,Sarcolipin,Wild-Type,1550
2015-01-08_mTsc_Quads-700.tiff,W,5,109000,386000,2100,132,Signal,Sarcolipin,Wild-Type,811
2015-01-08_mTsc_Quads-700.tiff,W,6,497000,767000,1988,136,Signal,Sarcolipin,Knockout,869
2015-01-08_mTsc_Quads-700.tiff,W,7,499000,754000,1848,138,Signal,Sarcolipin,Knockout,1264
2015-01-08_mTsc_Quads-700.tiff,W,8,593000,887000,2106,140,Signal,Sarcolipin,Knockout,1266
2015-01-08_mTsc_Quads-700.tiff,W,9,689000,1020000,2291,144,Signal,Sarcolipin,Knockout,1265
2015-01-08_mTsc_Quads-700.tiff,W,10,469000,822000,2484,142,Signal,Sarcolipin,Knockout,1552
